Unnamed: 7,ECSE,KG,1,2,3,4,5,6,7,8,9,10,11,12
Bellaire Education Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,5.0,4.0,0.0,0.0,0.0
Belle Plaine Early Childhood Special Education,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belle Plaine Junior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,126.0,0.0,0.0,0.0,0.0
Belle Plaine Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,119.0,134.0,108.0
Belle Plaine Transitions/Work Experience Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Bemidji Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,351.0,342.0,0.0,0.0,0.0,0.0
Bemidji Middle ALP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bemidji Regional Interdist. Council,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bemidji Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,424.0,354.0,315.0
Bemidji Senior Lumberjack ALC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,26.0
Benjamin E Mays Magnet,5.0,61.0,59.0,48.0,61.0,49.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benson Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,44.0,44.0,52.0,63.0,43.0,48.0
Benton Stearns Education District 18-21 Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Benton-Stearns Education District,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0
Benton-Stearns Education District - ASD Program,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0
Benton-Stearns Education District Early Childhood,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benton-Stearns Education Program - Pioneers,0.0,0.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Bert Raney Elementary School,15.0,55.0,48.0,39.0,47.0,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertha Elementary,10.0,33.0,46.0,41.0,26.0,41.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertha Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,32.0,43.0,43.0,36.0
Best Academy,0.0,62.0,73.0,64.0,53.0,58.0,62.0,68.0,50.0,57.0,0.0,0.0,0.0,0.0
Bethany Crisis Shelter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bethune Elementary,0.0,40.0,30.0,29.0,39.0,38.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Lake Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,211.0,225.0,0.0,0.0,0.0,0.0
Big Lake Online 6-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,11.0,32.0,62.0,66.0
Big Lake Online K-5,0.0,1.0,3.0,7.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Lake Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,232.0,211.0,172.0
Big Stone Colony Elementary,0.0,4.0,3.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Big Stone Colony High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Big Woods Elementary,0.0,0.0,147.0,161.0,166.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bigfork Elementary,3.0,18.0,11.0,25.0,20.0,21.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Bigfork Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,27.0,22.0,21.0,16.0
Birch Grove Community School,0.0,11.0,11.0,12.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birch Grove School For The Arts,3.0,63.0,62.0,65.0,76.0,76.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birch Lake Elementary,0.0,37.0,44.0,38.0,38.0,27.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birchview Elementary,0.0,76.0,90.0,80.0,75.0,69.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
