DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	181	31	Brainerd Public School District	35	Lake Region Christian	25	28	33	24	27	29	21	25	15	14	17	5	10	162	86	273	0	0	0	0	18	Crow Wing                                    	05
23-24	181	31	Brainerd Public School District	36	St. Francis of the Lakes Catholic School	22	24	29	22	24	25	19	25	18	0	0	0	0	143	43	208	0	28	28	0	18	Crow Wing                                    	05
23-24	181	31	Brainerd Public School District	37	Oak Street Christian School	0	2	3	2	0	0	0	1	1	0	0	0	0	7	2	9	0	0	0	0	18	Crow Wing                                    	05
23-24	181	31	Brainerd Public School District	38	Stâre Academy	11	7	7	7	5	4	11	6	5	1	1	0	0	41	13	65	0	35	35	0	18	Crow Wing                                    	05
23-24	181	31	Brainerd Public School District	39	T4N Pinnacle Academy	5	9	8	10	9	8	6	9	5	8	5	5	3	50	35	90	0	0	0	0	18	Crow Wing                                    	05
23-24	191	31	Burnsville-Eagan-Savage School District	2	St. John the Baptist	28	26	30	32	27	24	26	34	26	0	0	0	0	165	60	253	0	66	66	0	70	Scott                                        	11
23-24	191	31	Burnsville-Eagan-Savage School District	3	Unity High School	0	0	0	0	0	0	0	0	0	14	17	19	18	0	68	68	0	0	0	0	19	Dakota                                       	11
23-24	194	31	Lakeville Area Schools	1	All Saints School	48	52	52	52	52	49	43	34	21	0	0	0	0	300	55	403	0	6	6	0	19	Dakota                                       	11
23-24	194	31	Lakeville Area Schools	2	Southview Christian	2	2	7	2	4	4	6	3	1	3	0	0	0	25	7	34	0	0	0	0	19	Dakota                                       	11
23-24	194	31	Lakeville Area Schools	3	Glory Academy	10	4	4	4	4	2	3	1	1	0	0	1	0	21	3	34	0	0	0	0	19	Dakota                                       	11
23-24	194	31	Lakeville Area Schools	4	Christian Heritage Academy	31	39	35	31	22	22	19	15	20	0	0	0	0	168	35	234	0	0	0	0	19	Dakota                                       	11
23-24	194	31	Lakeville Area Schools	6	OneSchool Global	0	0	0	6	3	5	3	1	2	1	4	4	3	17	15	32	0	0	0	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	1	Berea Lutheran	6	2	4	6	2	4	3	3	3	0	0	0	0	21	6	33	0	0	0	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	2	First Baptist	26	22	27	35	26	20	25	26	24	19	16	12	19	155	116	297	0	0	0	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	3	Good Shepherd Lutheran	20	28	23	15	18	10	12	6	5	0	0	0	0	106	11	137	0	0	0	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	4	Faithful Shepherd Catholic	41	48	56	68	60	42	38	30	38	0	0	0	0	312	68	421	0	0	0	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	7	St. Joseph's Catholic	28	39	32	25	24	28	25	26	18	0	0	0	0	173	44	245	0	23	23	4	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	13	Cyprus Classical Academy	10	9	4	3	4	2	5	1	0	1	1	0	0	27	3	40	0	0	0	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	15	Trinity School at River Ridge	0	0	0	0	0	0	29	40	25	29	35	37	35	29	201	230	0	15	15	0	19	Dakota                                       	11
23-24	196	31	Rosemount-Apple Valley-Eagan	22	Hikmah Academy	20	7	4	4	0	0	0	0	0	0	0	0	0	15	0	35	0	0	0	0	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	2	Visitation School	11	20	24	22	24	35	44	33	51	65	59	59	67	169	334	514	0	40	40	0	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	3	Crown of Life	18	17	21	17	24	25	13	15	13	0	0	0	0	117	28	163	0	0	0	0	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	4	St. Croix Lutheran	0	0	0	0	0	0	13	23	42	100	111	106	102	13	484	497	0	42	42	98	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	7	St. Thomas Academy	0	0	0	0	0	0	23	51	50	106	109	105	120	23	541	564	0	26	26	0	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	8	Trinity Lone Oak Lutheran	17	13	14	12	7	12	10	6	11	0	0	0	0	68	17	102	0	5	5	0	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	9	St. Joseph's School	55	53	53	55	47	45	34	24	23	0	0	0	0	287	47	389	0	57	57	0	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	11	Community of Saints Regional Catholic School	19	23	25	35	20	19	26	18	19	0	0	0	0	148	37	204	0	138	138	101	19	Dakota                                       	11
23-24	197	31	West St. Paul-Mendota Heights-Eagan	19	Brightmont Academy	0	0	0	0	0	0	0	0	0	0	1	4	5	0	10	10	0	0	0	0	19	Dakota                                       	11
23-24	200	31	Hastings Public School District	1	St. Elizabeth Ann Seton	15	18	17	25	23	15	25	30	15	0	0	0	0	123	45	183	0	14	14	0	19	Dakota                                       	11
23-24	200	31	Hastings Public School District	2	St. John the Baptist	19	11	19	8	8	0	0	0	0	0	0	0	0	46	0	65	0	7	7	0	19	Dakota                                       	11
