DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
Nicollet Public School District,Immanuel Lutheran,7.0,5.0,2.0,11.0,3.0,2.0,4.0,27.0,9.0,43.0,0.0,0.0,0.0,0.0
Nicollet Public School District,Trinity Evangelical Lutheran,5.0,5.0,8.0,7.0,6.0,2.0,2.0,30.0,2.0,37.0,0.0,3.0,3.0,0.0
St. Peter Public School District,John Ireland,15.0,7.0,17.0,9.0,14.0,6.0,8.0,61.0,5.0,81.0,0.0,2.0,2.0,2.0
St. Peter Public School District,St. Peter Evangelical Lutheran,7.0,8.0,7.0,14.0,6.0,5.0,8.0,48.0,15.0,70.0,0.0,10.0,10.0,0.0
Worthington Public School District,St. Mary's,9.0,7.0,16.0,12.0,11.0,13.0,0.0,59.0,5.0,73.0,0.0,48.0,48.0,32.0
Worthington Public School District,Worthington Christian,15.0,7.0,17.0,13.0,11.0,9.0,13.0,70.0,15.0,100.0,0.0,22.0,22.0,0.0
Rochester Public School District,Rochester Arts & Sciences Academy,30.0,28.0,29.0,23.0,19.0,13.0,2.0,114.0,6.0,150.0,0.0,0.0,0.0,0.0
Rochester Public School District,Rochester Central Lutheran,36.0,46.0,27.0,42.0,43.0,28.0,41.0,227.0,71.0,334.0,0.0,9.0,9.0,0.0
Rochester Public School District,St. Francis of Assisi,31.0,35.0,46.0,39.0,43.0,49.0,38.0,250.0,70.0,351.0,0.0,58.0,58.0,18.0
Rochester Public School District,Co-Cathedral of St. John the Evangelist Middle School,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,143.0,192.0,0.0,29.0,29.0,0.0
Rochester Public School District,St. Pius X,28.0,23.0,34.0,21.0,36.0,26.0,0.0,140.0,0.0,168.0,0.0,26.0,26.0,2.0
Rochester Public School District,Schaeffer Academy,25.0,26.0,24.0,23.0,26.0,26.0,24.0,149.0,121.0,295.0,0.0,0.0,0.0,0.0
Rochester Public School District,Rochester Montessori,30.0,14.0,18.0,18.0,10.0,10.0,15.0,85.0,3.0,118.0,0.0,0.0,0.0,0.0
Rochester Public School District,Resurrection Lutheran,15.0,14.0,14.0,12.0,17.0,8.0,8.0,73.0,18.0,106.0,0.0,21.0,21.0,0.0
Rochester Public School District,Holy Spirit,21.0,29.0,31.0,25.0,27.0,22.0,0.0,134.0,0.0,155.0,0.0,23.0,23.0,0.0
Rochester Public School District,Victory Academy,3.0,4.0,1.0,3.0,1.0,2.0,1.0,12.0,1.0,16.0,0.0,0.0,0.0,0.0
Rochester Public School District,Rochester Pentecostal,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0
Rochester Public School District,Rochester Adventist Elementary School,2.0,2.0,3.0,4.0,2.0,3.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0
Rochester Public School District,Seeds of Wisdom,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0
Rochester Public School District,Lourdes High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,322.0,0.0,21.0,21.0,0.0
Fergus Falls Public School District,Hillcrest Lutheran Academy,23.0,22.0,22.0,16.0,26.0,26.0,23.0,135.0,183.0,341.0,0.0,21.0,21.0,0.0
Fergus Falls Public School District,Our Lady of Victory,15.0,12.0,16.0,10.0,16.0,13.0,6.0,73.0,0.0,88.0,0.0,19.0,19.0,0.0
Perham-Dent Public School District,St. Henry's Area School,17.0,21.0,12.0,15.0,17.0,12.0,14.0,91.0,0.0,108.0,0.0,25.0,25.0,0.0
Perham-Dent Public School District,St. Paul's Lutheran,16.0,9.0,9.0,12.0,10.0,7.0,1.0,48.0,3.0,67.0,0.0,19.0,19.0,0.0
Thief River Falls School District,St. Bernard's,16.0,8.0,17.0,9.0,11.0,11.0,0.0,56.0,0.0,72.0,0.0,27.0,27.0,4.0
Thief River Falls School District,St. John Lutheran School,2.0,2.0,1.0,4.0,1.0,1.0,2.0,11.0,8.0,21.0,0.0,0.0,0.0,0.0
